 Europaparlamentswahl  1999 - Stimmen;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;ÖVP;;SPÖ;;FPÖ;;GRÜNE;;LIF;;CSA;;KPÖ;;erste Eingabe;;letzte Eingabe;
;;rechtigte;Stimmen;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
40000;Land Oberösterreich                ;991 397;552 259;55,71;19 054;3,45;533 205;96,55;170 627;32,00;163 715;30,70;133 133;24,97;46 089;8,64;10 143;1,90;6 622;1,24;2 876;0,54;14.06.1999;0:11:53;21.06.1999;17:34:05
4A000;Wahlkreis Linz und Umgebung             ;227 822;116 296;51,05;2 685;2,31;113 611;97,69;25 595;22,53;42 321;37,25;28 033;24,67;12 247;10,78;3 168;2,79;1 375;1,21;872;0,77;14.06.1999;0:11:53;21.06.1999;17:31:37
4A099;Wahlkarten Linz und Umgebung  ; ;999; ;9;0,90;990;99,10;286;28,89;333;33,64;149;15,05;153;15,45;43;4,34;20;2,02;6;0,61;21.06.1999;17:31:37;21.06.1999;17:31:37
4B000;Wahlkreis Innviertel                    ;151 656;80 949;53,38;2 834;3,50;78 115;96,50;27 604;35,34;18 455;23,63;24 286;31,09;5 378;6,88;1 101;1,41;975;1,25;316;0,40;13.06.1999;23:36:59;21.06.1999;17:32:17
4B099;Wahlkarten Innviertel         ; ;359; ;3;0,84;356;99,16;110;30,90;91;25,56;77;21,63;46;12,92;22;6,18;8;2,25;2;0,56;21.06.1999;17:32:17;21.06.1999;17:32:17
4C000;Wahlkreis Hausruckviertel               ;240 369;133 763;55,65;4 945;3,70;128 818;96,30;40 942;31,78;37 443;29,07;34 627;26,88;10 961;8,51;2 447;1,90;1 722;1,34;676;0,52;13.06.1999;23:55:18;21.06.1999;17:32:55
4C099;Wahlkarten Hausruckviertel    ; ;691; ;10;1,45;681;98,55;269;39,50;166;24,38;112;16,45;85;12,48;30;4,41;15;2,20;4;0,59;21.06.1999;17:32:55;21.06.1999;17:32:55
4D000;Wahlkreis Traunviertel                  ;182 561;104 631;57,31;3 934;3,76;100 697;96,24;28 918;28,72;34 968;34,73;24 616;24,45;8 640;8,58;1 847;1,83;1 153;1,15;555;0,55;13.06.1999;23:46:45;21.06.1999;17:33:33
4D099;Wahlkarten Traunviertel       ; ;772; ;9;1,17;763;98,83;274;35,91;236;30,93;98;12,84;101;13,24;32;4,19;14;1,83;8;1,05;21.06.1999;17:33:33;21.06.1999;17:33:33
4E000;Wahlkreis Mühlviertel                   ;188 989;116 620;61,71;4 656;3,99;111 964;96,01;47 568;42,49;30 528;27,27;21 571;19,27;8 863;7,92;1 580;1,41;1 397;1,25;457;0,41;13.06.1999;23:58:16;21.06.1999;17:34:05
4E099;Wahlkarten Mühlviertel        ; ;519; ;14;2,70;505;97,30;205;40,59;130;25,74;63;12,48;65;12,87;22;4,36;15;2,97;5;0,99;21.06.1999;17:34:05;21.06.1999;17:34:05
40101;Linz                          ;136 126;64 814;47,61;1 282;1,98;63 532;98,02;12 992;20,45;23 813;37,48;15 709;24,73;7 657;12,05;1 974;3,11;769;1,21;618;0,97;13.06.1999;23:32:43;13.06.1999;23:32:43
40201;Steyr                         ;28 781;15 112;52,51;379;2,51;14 733;97,49;2 372;16,10;6 572;44,61;3 696;25,09;1 502;10,19;343;2,33;101;0,69;147;1,00;13.06.1999;23:09:05;13.06.1999;23:09:05
