Europawahl  7. Juni 2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;SPÖ;;ÖVP;;MARTIN;;GRÜNE;;FPÖ;;KPÖ;;JuLis;;BZÖ;;erste Eingabe;;letzte Eingabe;
;;rechtigte;Stimmen;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
40000;Land Oberösterreich;1.093.481; 	561.382 ; 	51,34 ; 	13.216 ; 	2,35 ; 	548.166 ; 	97,65 ; 	131.632 ; 	24,01 ; 	171.907 ; 	31,36 ; 	93.004 ; 	16,97 ; 	46.816 ; 	8,54 ; 	75.803 ; 	13,83 ; 	3.022 ; 	0,55 ; 	2.993 ; 	0,55 ; 	22.989 ; 	4,19 ;6/7/09;6/7/09;6/16/09;6/16/09
40099;Wahlkarten Oberösterreich;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;
4A000;Wahlkreis Linz und Umgebung;246.078; 	121.175 ; 	49,24 ; 	2.170 ; 	1,79 ; 	119.005 ; 	98,21 ; 	36.089 ; 	30,33 ; 	25.829 ; 	21,70 ; 	22.370 ; 	18,80 ; 	12.475 ; 	10,48 ; 	15.910 ; 	13,37 ; 	971 ; 	0,82 ; 	764 ; 	0,64 ; 	4.597 ; 	3,86 ;6/7/09;6/7/09;6/16/09;6/16/09
4A099;Wahlkarten Linz und Umgebung;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;
4B000;Wahlkreis Innviertel;166.099; 	79.081 ; 	47,61 ; 	1.854 ; 	2,34 ; 	77.227 ; 	97,66 ; 	14.220 ; 	18,41 ; 	28.791 ; 	37,28 ; 	11.336 ; 	14,68 ; 	5.051 ; 	6,54 ; 	13.506 ; 	17,49 ; 	287 ; 	0,37 ; 	387 ; 	0,50 ; 	3.649 ; 	4,73 ;6/7/09;6/7/09;6/15/09;6/15/09
4B099;Wahlkarten Innviertel;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;
4C000;Wahlkreis Hausruckviertel;267.904; 	137.841 ; 	51,45 ; 	3.347 ; 	2,43 ; 	134.494 ; 	97,57 ; 	29.700 ; 	22,08 ; 	42.488 ; 	31,59 ; 	23.270 ; 	17,30 ; 	10.938 ; 	8,13 ; 	20.789 ; 	15,46 ; 	659 ; 	0,49 ; 	716 ; 	0,53 ; 	5.934 ; 	4,41 ;6/7/09;6/7/09;6/15/09;6/15/09
4C099;Wahlkarten Hausruckviertel;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;
4D000;Wahlkreis Traunviertel;198.424; 	102.483 ; 	51,65 ; 	2.562 ; 	2,50 ; 	99.921 ; 	97,50 ; 	26.124 ; 	26,14 ; 	28.370 ; 	28,39 ; 	18.154 ; 	18,17 ; 	8.458 ; 	8,46 ; 	13.018 ; 	13,03 ; 	535 ; 	0,54 ; 	546 ; 	0,55 ; 	4.716 ; 	4,72 ;6/7/09;6/7/09;6/15/09;6/15/09
4D099;Wahlkarten Traunviertel;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;
4E000;Wahlkreis Mühlviertel;214.976; 	120.802 ; 	56,19 ; 	3.283 ; 	2,72 ; 	117.519 ; 	97,28 ; 	25.499 ; 	21,70 ; 	46.429 ; 	39,51 ; 	17.874 ; 	15,21 ; 	9.894 ; 	8,42 ; 	12.580 ; 	10,70 ; 	570 ; 	0,49 ; 	580 ; 	0,49 ; 	4.093 ; 	3,48 ;6/7/09;6/7/09;6/15/09;6/15/09
4E099;Wahlkarten Mühlviertel;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;
