Europawahl 2014 - Stimmen;;;;;;;Stand:;41785,6680579051;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;ÖVP;;SPÖ;;leer;;FPÖ;;GRÜNE;;BZÖ;;NEOS;;REKOS;;ANDERS;;EUSTOP;;WANDL;;erste Eingabe;;letzte Eingabe;
;;rechtigte;Stimmen;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
40000;Land Oberösterreich;1.103.291; 	532.398 ; 	48,26 ; 	19.456 ; 	3,65 ; 	512.942 ; 	96,35 ; 	143.725 ; 	28,02 ; 	125.206 ; 	24,41 ; 	0 ; 	0 ; 	105.369 ; 	20,54 ; 	68.655 ; 	13,38 ; 	2.642 ; 	0,52 ; 	37.696 ; 	7,35 ; 	6.528 ; 	1,27 ; 	10.100 ; 	1,97 ; 	13.021 ; 	2,54 ; 	0 ; 	0 ;41784,7699846412;41784,7699846412;41785,6680576389;41785,6680576389
40099;Wahlkarten Oberösterreich;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0
4A000;Wahlkreis Linz und Umgebung;247.564; 	115.996 ; 	46,85 ; 	3.152 ; 	2,72 ; 	112.844 ; 	97,28 ; 	22.030 ; 	19,52 ; 	34.270 ; 	30,37 ; 	0 ; 	0 ; 	22.223 ; 	19,69 ; 	17.818 ; 	15,79 ; 	518 ; 	0,46 ; 	8.858 ; 	7,85 ; 	1.077 ; 	0,95 ; 	3.437 ; 	3,05 ; 	2.613 ; 	2,32 ; 	0 ; 	0 ;41784,7699847222;41784,7699847222;41785,6680578704;41785,6680578704
4A099;Wahlkarten Linz und Umgebung;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0
4B000;Wahlkreis Innviertel;167.197; 	72.748 ; 	43,51 ; 	2.559 ; 	3,52 ; 	70.189 ; 	96,48 ; 	23.357 ; 	33,28 ; 	13.090 ; 	18,65 ; 	0 ; 	0 ; 	17.357 ; 	24,73 ; 	7.613 ; 	10,85 ; 	481 ; 	0,69 ; 	4.539 ; 	6,47 ; 	954 ; 	1,36 ; 	1.023 ; 	1,46 ; 	1.775 ; 	2,53 ; 	0 ; 	0 ;41784,7035044329;41784,7035044329;41785,5553131134;41785,5553131134
4B099;Wahlkarten Innviertel;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0
4C000;Wahlkreis Hausruckviertel;271.411; 	131.701 ; 	48,52 ; 	4.970 ; 	3,77 ; 	126.731 ; 	96,23 ; 	35.623 ; 	28,11 ; 	28.596 ; 	22,56 ; 	0 ; 	0 ; 	29.586 ; 	23,35 ; 	15.909 ; 	12,55 ; 	572 ; 	0,45 ; 	9.337 ; 	7,37 ; 	1.648 ; 	1,30 ; 	2.085 ; 	1,65 ; 	3.375 ; 	2,66 ; 	0 ; 	0 ;41784,7556606481;41784,7556606481;41785,5826256134;41785,5826256134
4C099;Wahlkarten Hausruckviertel;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0
4D000;Wahlkreis Traunviertel;198.446; 	96.325 ; 	48,54 ; 	3.747 ; 	3,89 ; 	92.578 ; 	96,11 ; 	23.673 ; 	25,57 ; 	24.961 ; 	26,96 ; 	0 ; 	0 ; 	18.091 ; 	19,54 ; 	12.415 ; 	13,41 ; 	527 ; 	0,57 ; 	7.165 ; 	7,74 ; 	1.268 ; 	1,37 ; 	1.724 ; 	1,86 ; 	2.754 ; 	2,97 ; 	0 ; 	0 ;41784,7617723727;41784,7617723727;41785,5655184028;41785,5655184028
