Europawahl 2019;;;;Stand:;5/27/19 16:16;;;;;;;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;ÖVP;;SPÖ;;FPÖ;;GRÜNE;;NEOS;;KPÖ;;EUROPA;;erste Eingabe;;letzte Eingabe;
;;rechtigte;;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
40000;Oberösterreich;1108448;688278;62,09;12070;1,75;676208;98,25;237585;35,13;168747;24,95;122263;18,08;90427;13,37;47097;6,96;4364;0,65;5725;0,85;26.05.2019;19:15:20;27.05.2019;16:16:25
40099;Wahlkarten Oberösterreich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01.01.1970;01:00:00;01.01.1970;01:00:00
4A000;Linz und Umgebung;246851;150520;60,98;2039;1,35;148481;98,65;38636;26,02;46236;31,14;23953;16,13;24201;16,3;12449;8,38;1449;0,98;1557;1,05;26.05.2019;19:15:20;27.05.2019;15:29:09
49019;Wahlkarten Linz und Umgebung;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01.01.1970;01:00:00;01.01.1970;01:00:00
4B000;Innviertel;168154;97018;57,7;1612;1,66;95406;98,34;39868;41,79;16909;17,72;21601;22,64;10384;10,88;5415;5,68;514;0,54;715;0,75;26.05.2019;17:55:47;27.05.2019;14:21:18
49029;Wahlkarten Innviertel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01.01.1970;01:00:00;01.01.1970;01:00:00
4C000;Hausruckviertel;273872;169309;61,82;3128;1,85;166181;98,15;59505;35,81;38540;23,19;33414;20,11;21150;12,73;11354;6,83;848;0,51;1370;0,82;26.05.2019;18:16:49;27.05.2019;16:16:25
49039;Wahlkarten Hausruckviertel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01.01.1970;01:00:00;01.01.1970;01:00:00
4D000;Traunviertel;198335;124005;62,52;2236;1,8;121769;98,2;40283;33,08;34937;28,69;21058;17,29;15438;12,68;8344;6,85;726;0,6;983;0,81;26.05.2019;18:07:36;27.05.2019;15:13:23
49049;Wahlkarten Traunviertel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01.01.1970;01:00:00;01.01.1970;01:00:00
4E000;Mühlviertel;221236;147426;66,64;3055;2,07;144371;97,93;59293;41,07;32125;22,25;22237;15,4;19254;13,34;9535;6,6;827;0,57;1100;0,76;26.05.2019;17:56:16;27.05.2019;15:35:20
49059;Wahlkarten Mühlviertel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01.01.1970;01:00:00;01.01.1970;01:00:00
40100;Linz;138624;82354;59,41;1002;1,22;81352;98,78;18775;23,08;26170;32,17;12063;14,83;15348;18,87;6997;8,6;1053;1,29;946;1,16;26.05.2019;19:15:20;27.05.2019;13:34:10
40101;Linz;138624;68116;49,14;913;1,34;67203;98,66;15568;23,17;21676;32,25;10643;15,84;12015;17,88;5655;8,41;858;1,28;788;1,17;26.05.2019;19:15:20;26.05.2019;19:15:20
40199;Wahlkarten Linz;0;14238;0;89;0,63;14149;99,37;3207;22,67;4494;31,76;1420;10,04;3333;23,56;1342;9,48;195;1,38;158;1,12;27.05.2019;13:34:10;27.05.2019;13:34:10
40200;Steyr;27017;16072;59,49;233;1,45;15839;98,55;3355;21,18;6071;38,33;2863;18,08;2245;14,17;1039;6,56;120;0,76;146;0,92;26.05.2019;18:07:36;27.05.2019;12:17:01
40201;Steyr;27017;14125;52,28;212;1,5;13913;98,5;2908;20,9;5393;38,76;2648;19,03;1841;13,23;888;6,38;111;0,8;124;0,89;26.05.2019;18:07:36;26.05.2019;18:07:36
40299;Wahlkarten Steyr;0;1947;0;21;1,08;1926;98,92;447;23,21;678;35,2;215;11,16;404;20,98;151;7,84;9;0,47;22;1,14;27.05.2019;12:17:01;27.05.2019;12:17:01
40300;Wels;39118;22139;56,6;342;1,54;21797;98,46;5475;25,12;6649;30,5;4699;21,56;2938;13,48;1687;7,74;148;0,68;201;0,92;26.05.2019;18:16:49;27.05.2019;12:05:58
40301;Wels;39118;19110;48,85;323;1,69;18787;98,31;4679;24,91;5774;30,73;4207;22,39;2390;12,72;1429;7,61;132;0,7;176;0,94;26.05.2019;18:16:49;26.05.2019;18:16:49
40399;Wahlkarten Wels;0;3029;0;19;0,63;3010;99,37;796;26,45;875;29,07;492;16,35;548;18,21;258;8,57;16;0,53;25;0,83;27.05.2019;12:05:58;27.05.2019;12:05:58
40400;Braunau am Inn;76499;42442;55,48;717;1,69;41725;98,31;16726;40,09;8049;19,29;9156;21,94;4741;11,36;2436;5,84;253;0,61;364;0,87;26.05.2019;17:55:47;27.05.2019;14:21:18
40401;Altheim;3790;1910;50,4;41;2,15;1869;97,85;616;32,96;426;22,79;537;28,73;168;8,99;107;5,72;8;0,43;7;0,37;26.05.2019;15:27:38;26.05.2019;15:27:38
40402;Aspach;2011;885;44,01;17;1,92;868;98,08;439;50,58;93;10,71;218;25,12;73;8,41;35;4,03;5;0,58;5;0,58;26.05.2019;12:37:31;26.05.2019;12:37:31
40403;Auerbach;450;264;58,67;1;0,38;263;99,62;122;46,39;25;9,51;81;30,8;22;8,37;11;4,18;0;0;2;0,76;26.05.2019;12:49:41;26.05.2019;12:49:41
40404;Braunau am Inn;11631;5191;44,63;61;1,18;5130;98,82;1427;27,82;1383;26,96;1105;21,54;794;15,48;334;6,51;37;0,72;50;0,97;26.05.2019;17:55:47;26.05.2019;17:55:47
40405;Burgkirchen;2087;1058;50,69;19;1,8;1039;98,2;495;47,64;146;14,05;230;22,14;112;10,78;46;4,43;3;0,29;7;0,67;26.05.2019;14:36:20;26.05.2019;14:36:20
40406;Eggelsberg;1853;836;45,12;13;1,56;823;98,44;337;40,95;121;14,7;189;22,96;104;12,64;58;7,05;4;0,49;10;1,22;26.05.2019;13:37:04;26.05.2019;13:37:04
40407;Feldkirchen bei Mattighofen;1613;823;51,02;23;2,79;800;97,21;353;44,13;106;13,25;225;28,13;74;9,25;35;4,38;4;0,5;3;0,38;26.05.2019;14:15:19;26.05.2019;14:15:19
40408;Franking;802;375;46,76;11;2,93;364;97,07;196;53,85;47;12,91;65;17,86;30;8,24;22;6,04;3;0,82;1;0,27;26.05.2019;12:56:27;26.05.2019;12:56:27
40409;Geretsberg;896;448;50;6;1,34;442;98,66;204;46,15;48;10,86;108;24,43;45;10,18;35;7,92;0;0;2;0,45;26.05.2019;13:02:04;26.05.2019;13:02:04
40410;Gilgenberg am Weilhart;1045;480;45,93;7;1,46;473;98,54;256;54,12;43;9,09;114;24,1;34;7,19;21;4,44;2;0,42;3;0,63;26.05.2019;14:23:28;26.05.2019;14:23:28
40411;Haigermoos;497;268;53,92;6;2,24;262;97,76;127;48,47;30;11,45;57;21,76;24;9,16;20;7,63;1;0,38;3;1,15;26.05.2019;13:02:28;26.05.2019;13:02:28
40412;Handenberg;1032;553;53,59;14;2,53;539;97,47;272;50,46;69;12,8;113;20,96;45;8,35;29;5,38;6;1,11;5;0,93;26.05.2019;14:54:47;26.05.2019;14:54:47
40413;Helpfau-Uttendorf;2380;1053;44,24;11;1,04;1042;98,96;489;46,93;167;16,03;246;23,61;79;7,58;49;4,7;5;0,48;7;0,67;26.05.2019;13:37:13;26.05.2019;13:37:13
40414;Hochburg-Ach;2244;1101;49,06;18;1,63;1083;98,37;576;53,19;140;12,93;143;13,2;153;14,13;62;5,72;2;0,18;7;0,65;26.05.2019;14:04:56;26.05.2019;14:04:56
40415;Höhnhart;1124;511;45,46;8;1,57;503;98,43;242;48,11;77;15,31;138;27,44;34;6,76;9;1,79;1;0,2;2;0,4;26.05.2019;13:31:04;26.05.2019;13:31:04
40416;Jeging;511;279;54,6;11;3,94;268;96,06;127;47,39;37;13,81;74;27,61;16;5,97;13;4,85;0;0;1;0,37;26.05.2019;13:31:15;26.05.2019;13:31:15
40417;Kirchberg bei Mattighofen;939;496;52,82;15;3,02;481;96,98;249;51,77;45;9,36;112;23,28;39;8,11;31;6,44;1;0,21;4;0,83;26.05.2019;14:54:56;26.05.2019;14:54:56
40418;Lengau;3621;1707;47,14;46;2,69;1661;97,31;630;37,93;421;25,35;357;21,49;141;8,49;84;5,06;8;0,48;20;1,2;26.05.2019;14:34:35;26.05.2019;14:34:35
40419;Lochen;2188;1154;52,74;20;1,73;1134;98,27;530;46,74;130;11,46;279;24,6;111;9,79;60;5,29;12;1,06;12;1,06;26.05.2019;14:36:29;26.05.2019;14:36:29
40420;Maria Schmolln;1185;569;48,02;8;1,41;561;98,59;301;53,65;81;14,44;102;18,18;51;9,09;24;4,28;1;0,18;1;0,18;26.05.2019;13:31:23;26.05.2019;13:31:23
40421;Mattighofen;3757;1544;41,1;23;1,49;1521;98,51;478;31,43;398;26,17;366;24,06;160;10,52;90;5,92;10;0,66;19;1,25;26.05.2019;14:18:37;26.05.2019;14:18:37
40422;Mauerkirchen;1682;708;42,09;9;1,27;699;98,73;228;32,62;174;24,89;199;28,47;52;7,44;43;6,15;1;0,14;2;0,29;26.05.2019;15:24:59;26.05.2019;15:24:59
40423;Mining;990;506;51,11;9;1,78;497;98,22;230;46,28;69;13,88;93;18,71;76;15,29;21;4,23;7;1,41;1;0,2;26.05.2019;13:18:05;26.05.2019;13:18:05
40424;Moosbach;771;423;54,86;9;2,13;414;97,87;177;42,75;37;8,94;144;34,78;27;6,52;22;5,31;2;0,48;5;1,21;26.05.2019;12:49:54;26.05.2019;12:49:54
40425;Moosdorf;1299;595;45,8;8;1,34;587;98,66;217;36,97;155;26,41;127;21,64;55;9,37;25;4,26;3;0,51;5;0,85;26.05.2019;13:37:22;26.05.2019;13:37:22
40426;Munderfing;2297;1144;49,8;19;1,66;1125;98,34;468;41,6;246;21,87;205;18,22;125;11,11;67;5,96;6;0,53;8;0,71;26.05.2019;14:08:58;26.05.2019;14:08:58
40427;Neukirchen an der Enknach;1755;912;51,97;19;2,08;893;97,92;371;41,55;148;16,57;243;27,21;83;9,29;35;3,92;3;0,34;10;1,12;26.05.2019;14:55:06;26.05.2019;14:55:06
40428;Ostermiething;2480;1161;46,81;27;2,33;1134;97,67;558;49,21;166;14,64;201;17,72;128;11,29;58;5,11;7;0,62;16;1,41;26.05.2019;14:55:14;26.05.2019;14:55:14
40429;Palting;795;410;51,57;13;3,17;397;96,83;193;48,61;40;10,08;99;24,94;35;8,82;26;6,55;2;0,5;2;0,5;26.05.2019;12:56:41;26.05.2019;12:56:41
